Title,Price,Availability,Rating,Category
A Light in the Attic,£51.77,In stock,Three,Poetry
Tipping the Velvet,£53.74,In stock,One,Historical Fiction
Soumission,£50.10,In stock,One,Fiction
Sharp Objects,£47.82,In stock,Four,Mystery
Sapiens: A Brief History of Humankind,£54.23,In stock,Five,History
The Requiem Red,£22.65,In stock,One,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock,Four,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock,Three,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock,Four,Default
The Black Maria,£52.15,In stock,One,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock,Two,Default
Shakespeare's Sonnets,£20.66,In stock,Four,Poetry
Set Me Free,£17.46,In stock,Five,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock,Five,Sequential Art
Rip it Up and Start Again,£35.02,In stock,Five,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock,Three,Music
Olio,£23.88,In stock,One,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,One,Science Fiction
Libertarianism for Beginners,£51.33,In stock,Two,Politics
It's Only the Himalayas,£45.17,In stock,Two,Travel
In Her Wake,£12.84,In stock,One,Thriller
How Music Works,£37.32,In stock,Two,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock,Three,Food and Drink
Chase Me (Paris Nights #2),£25.27,In stock,Five,Romance
Black Dust,£34.53,In stock,Five,Romance
Birdsong: A Story in Pictures,£54.64,In stock,Three,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In stock,Three,Default
Aladdin and His Wonderful Lamp,£53.13,In stock,Three,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In stock,Five,Nonfiction
Wall and Piece,£44.18,In stock,Four,Art
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,In stock,Five,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In stock,Three,Nonfiction
The Elephant Tree,£23.82,In stock,Five,Thriller
The Bear and the Piano,£36.89,In stock,One,Childrens
Sophie's World,£15.94,In stock,Five,Philosophy
Penny Maybe,£33.29,In stock,Three,Default
Maude (1883-1993):She Grew Up with the country,£18.02,In stock,Two,Default
"In a Dark, Dark Wood",£19.63,In stock,One,Mystery
Behind Closed Doors,£52.22,In stock,Four,Thriller
You can't bury them all: Poems,£33.63,In stock,Two,Poetry
